time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-25 10:6:12.868	WT901BLE68(801231B9234C)	-0.251	0.935	0.149	10.132	2.075	77.209	80.76	19.46	-71.36	-5.782	-39.592	-11.368	-0.50296	-0.60373	0.23505	0.57196	23.5	13111	100
2025-5-25 10:6:12.868	WT901BLE68(801231B9234C)	-0.260	0.946	0.145	11.841	-0.977	81.360	81.06	17.81	-71.03	-5.782	-39.592	-11.368	-0.50296	-0.60373	0.23505	0.57196	23.5	13111	100
2025-5-25 10:6:12.933	WT901BLE68(801231B9234C)	-0.268	0.959	0.145	13.977	-4.456	84.473	81.36	16.12	-70.80	-5.782	-39.592	-11.368	-0.50296	-0.60373	0.23505	0.57196	23.5	13111	100
2025-5-25 10:6:12.933	WT901BLE68(801231B9234C)	-0.283	0.963	0.133	16.052	-7.141	85.938	81.68	14.40	-70.65	-6.860	-38.318	-12.348	-0.50296	-0.60373	0.23505	0.57196	23.5	13111	100
2025-5-25 10:6:12.982	WT901BLE68(801231B9234C)	-0.300	0.971	0.129	18.372	-10.498	86.670	82.02	12.67	-70.59	-6.860	-38.318	-12.348	-0.50296	-0.60373	0.23505	0.57196	23.5	13111	100
2025-5-25 10:6:12.982	WT901BLE68(801231B9234C)	-0.326	0.973	0.126	20.081	-14.343	86.670	82.38	10.96	-70.63	-6.860	-38.318	-12.348	-0.50296	-0.60373	0.23505	0.57196	23.5	13111	100
2025-5-25 10:6:13.4	WT901BLE68(801231B9234C)	-0.354	0.978	0.127	20.996	-20.264	84.778	82.75	9.28	-70.78	-6.860	-38.318	-12.348	-0.50296	-0.60373	0.23505	0.57196	23.5	13111	100
2025-5-25 10:6:13.4	WT901BLE68(801231B9234C)	-0.371	0.980	0.116	20.813	-29.236	80.750	83.11	7.68	-71.14	-6.860	-38.318	-12.348	-0.50296	-0.60373	0.23505	0.57196	23.5	13111	100
2025-5-25 10:6:13.48	WT901BLE68(801231B9234C)	-0.379	0.980	0.099	20.508	-38.696	74.524	83.45	6.20	-71.71	-6.860	-38.318	-12.348	-0.50296	-0.60373	0.23505	0.57196	23.5	13111	100
2025-5-25 10:6:13.48	WT901BLE68(801231B9234C)	-0.379	0.991	0.100	18.982	-45.105	64.758	83.77	4.89	-72.47	-6.860	-38.318	-12.348	-0.50296	-0.60373	0.23505	0.57196	23.5	13111	100
2025-5-25 10:6:13.71	WT901BLE68(801231B9234C)	-0.379	1.024	0.086	17.639	-47.485	53.101	84.06	3.84	-73.34	-6.860	-38.318	-12.348	-0.50296	-0.60373	0.23505	0.57196	23.5	13111	100
2025-5-25 10:6:13.71	WT901BLE68(801231B9234C)	-0.392	1.054	0.067	16.602	-44.617	40.161	84.35	3.04	-74.21	-6.860	-38.318	-12.348	-0.50296	-0.60373	0.23505	0.57196	23.5	13111	100
2025-5-25 10:6:13.122	WT901BLE68(801231B9234C)	-0.407	1.054	0.080	15.747	-37.476	25.452	84.63	2.55	-74.99	-6.860	-38.318	-12.348	-0.50296	-0.60373	0.23505	0.57196	23.5	13111	100
2025-5-25 10:6:13.122	WT901BLE68(801231B9234C)	-0.408	1.045	0.066	15.259	-29.602	8.057	84.91	2.41	-75.65	-6.860	-38.318	-12.348	-0.57138	-0.54300	0.40817	0.46033	23.5	13111	100
2025-5-25 10:6:13.162	WT901BLE68(801231B9234C)	-0.407	1.030	0.070	15.747	-21.179	-9.155	85.19	2.63	-76.18	-6.860	-38.318	-12.348	-0.57138	-0.54300	0.40817	0.46033	23.5	13111	100
2025-5-25 10:6:13.162	WT901BLE68(801231B9234C)	-0.409	0.990	0.066	16.907	-15.442	-28.137	85.50	3.25	-76.59	-6.860	-38.318	-12.348	-0.57138	-0.54300	0.40817	0.46033	23.5	13111	100
2025-5-25 10:6:13.204	WT901BLE68(801231B9234C)	-0.430	0.952	0.087	18.005	-14.893	-45.776	85.83	4.21	-76.98	-6.860	-38.318	-12.348	-0.57138	-0.54300	0.40817	0.46033	23.5	13111	100
2025-5-25 10:6:13.204	WT901BLE68(801231B9234C)	-0.455	0.951	0.067	17.822	-20.081	-63.049	86.14	5.52	-77.45	-6.860	-38.318	-12.348	-0.57138	-0.54300	0.40817	0.46033	23.5	13111	100
2025-5-25 10:6:13.249	WT901BLE68(801231B9234C)	-0.465	0.976	0.057	17.273	-24.536	-73.914	86.43	7.09	-78.04	-6.860	-38.318	-12.348	-0.57138	-0.54300	0.40817	0.46033	23.5	13111	100
2025-5-25 10:6:13.250	WT901BLE68(801231B9234C)	-0.501	0.988	0.054	16.663	-32.166	-81.116	86.67	8.80	-78.74	-6.860	-38.318	-12.348	-0.57138	-0.54300	0.40817	0.46033	23.5	13111	100
2025-5-25 10:6:13.273	WT901BLE68(801231B9234C)	-0.465	1.011	0.084	13.977	-45.593	-90.454	86.82	10.66	-79.69	-6.860	-38.318	-12.348	-0.57138	-0.54300	0.40817	0.46033	23.5	13111	100
2025-5-25 10:6:13.273	WT901BLE68(801231B9234C)	-0.388	1.026	0.079	9.583	-58.533	-98.816	86.80	12.67	-80.93	-6.860	-38.318	-12.348	-0.57138	-0.54300	0.40817	0.46033	23.5	13111	100
2025-5-25 10:6:13.323	WT901BLE68(801231B9234C)	-0.371	1.034	0.065	6.470	-54.321	-105.530	86.64	14.79	-82.25	-6.860	-38.318	-12.348	-0.57138	-0.54300	0.40817	0.46033	23.5	13111	100
2025-5-25 10:6:13.323	WT901BLE68(801231B9234C)	-0.390	1.039	0.064	5.005	-40.710	-110.352	86.46	17.01	-83.36	-14.994	-39.298	-4.312	-0.57138	-0.54300	0.40817	0.46033	23.5	13111	100
2025-5-25 10:6:13.362	WT901BLE68(801231B9234C)	-0.396	1.038	0.071	4.028	-32.898	-114.624	86.28	19.28	-84.25	-14.994	-39.298	-4.312	-0.57138	-0.54300	0.40817	0.46033	23.5	13111	100
2025-5-25 10:6:13.363	WT901BLE68(801231B9234C)	-0.360	1.029	0.073	2.502	-34.302	-117.371	86.04	21.59	-85.14	-14.994	-39.298	-4.312	-0.57138	-0.54300	0.40817	0.46033	23.5	13111	100
2025-5-25 10:6:13.407	WT901BLE68(801231B9234C)	-0.327	1.020	0.069	1.038	-35.156	-117.371	85.72	23.89	-86.09	-14.994	-39.298	-4.312	-0.57138	-0.54300	0.40817	0.46033	23.5	13111	100
2025-5-25 10:6:13.407	WT901BLE68(801231B9234C)	-0.304	0.996	0.070	0.244	-33.997	-114.624	85.34	26.11	-87.07	-14.994	-39.298	-4.312	-0.57138	-0.54300	0.40817	0.46033	23.5	13111	100
2025-5-25 10:6:13.452	WT901BLE68(801231B9234C)	-0.286	0.960	0.082	0.000	-31.738	-109.009	84.94	28.20	-88.02	-14.994	-39.298	-4.312	-0.57138	-0.54300	0.40817	0.46033	23.5	13111	100
2025-5-25 10:6:13.453	WT901BLE68(801231B9234C)	-0.277	0.929	0.102	-0.977	-29.419	-101.440	84.51	30.13	-88.94	-14.994	-39.298	-4.312	-0.57138	-0.54300	0.40817	0.46033	23.5	13111	100
2025-5-25 10:6:13.476	WT901BLE68(801231B9234C)	-0.276	0.903	0.092	-2.258	-28.870	-91.614	84.03	31.85	-89.86	-14.994	-39.298	-4.312	-0.57138	-0.54300	0.40817	0.46033	23.5	13111	100
2025-5-25 10:6:13.476	WT901BLE68(801231B9234C)	-0.259	0.958	0.079	-2.930	-28.931	-75.012	83.51	33.27	-90.80	-14.994	-39.298	-4.312	-0.57138	-0.54300	0.40817	0.46033	23.5	13111	100
2025-5-25 10:6:13.523	WT901BLE68(801231B9234C)	-0.254	1.002	0.089	-3.723	-23.987	-54.016	83.02	34.26	-91.65	-14.994	-39.298	-4.312	-0.57138	-0.54300	0.40817	0.46033	23.5	13111	100
2025-5-25 10:6:13.523	WT901BLE68(801231B9234C)	-0.247	0.965	0.102	-3.540	-19.409	-36.743	82.61	34.87	-92.36	-14.994	-39.298	-4.312	-0.35114	-0.59677	0.30444	0.65405	23.5	13111	100
2025-5-25 10:6:13.566	WT901BLE68(801231B9234C)	-0.239	0.981	0.098	-2.747	-20.691	-18.738	82.24	35.12	-93.02	-14.994	-39.298	-4.312	-0.35114	-0.59677	0.30444	0.65405	23.5	13111	100
2025-5-25 10:6:13.566	WT901BLE68(801231B9234C)	-0.218	1.018	0.110	-2.747	-24.231	-1.221	81.87	34.99	-93.72	-14.994	-39.298	-4.312	-0.35114	-0.59677	0.30444	0.65405	23.5	13111	100
2025-5-25 10:6:13.609	WT901BLE68(801231B9234C)	-0.193	0.988	0.141	-2.991	-29.663	9.460	81.46	34.58	-94.51	-14.994	-39.298	-4.312	-0.35114	-0.59677	0.30444	0.65405	23.5	13111	100
2025-5-25 10:6:13.609	WT901BLE68(801231B9234C)	-0.168	1.028	0.167	-4.517	-37.781	18.188	80.94	33.96	-95.48	-14.994	-39.298	-4.312	-0.35114	-0.59677	0.30444	0.65405	23.5	13111	100
2025-5-25 10:6:13.655	WT901BLE68(801231B9234C)	-0.155	1.055	0.181	-7.629	-37.537	30.518	80.36	33.11	-96.54	-14.994	-39.298	-4.312	-0.35114	-0.59677	0.30444	0.65405	23.5	13111	100
2025-5-25 10:6:13.655	WT901BLE68(801231B9234C)	-0.149	1.053	0.184	-10.986	-33.325	41.748	79.78	32.03	-97.50	-14.994	-39.298	-4.312	-0.35114	-0.59677	0.30444	0.65405	23.5	13111	100
2025-5-25 10:6:13.679	WT901BLE68(801231B9234C)	-0.128	1.063	0.175	-14.282	-26.062	54.810	79.26	30.72	-98.28	-14.994	-39.298	-4.312	-0.35114	-0.59677	0.30444	0.65405	23.5	13111	100
2025-5-25 10:6:13.679	WT901BLE68(801231B9234C)	-0.101	1.081	0.168	-17.761	-13.123	67.017	78.82	29.21	-98.78	-14.994	-39.298	-4.312	-0.35114	-0.59677	0.30444	0.65405	23.5	13111	100
2025-5-25 10:6:13.723	WT901BLE68(801231B9234C)	-0.077	1.104	0.161	-22.339	6.775	75.989	78.52	27.56	-98.84	-14.994	-39.298	-4.312	-0.35114	-0.59677	0.30444	0.65405	23.5	13111	100
2025-5-25 10:6:13.723	WT901BLE68(801231B9234C)	-0.072	1.080	0.152	-27.588	34.241	79.468	78.37	25.91	-98.33	-0.784	-41.258	-1.176	-0.35114	-0.59677	0.30444	0.65405	23.5	13111	100
2025-5-25 10:6:13.769	WT901BLE68(801231B9234C)	-0.101	1.025	0.132	-32.349	63.721	77.026	78.35	24.38	-97.21	-0.784	-41.258	-1.176	-0.35114	-0.59677	0.30444	0.65405	23.5	13111	100
2025-5-25 10:6:13.769	WT901BLE68(801231B9234C)	-0.130	1.000	0.111	-36.255	86.975	72.693	78.43	23.03	-95.52	-0.784	-41.258	-1.176	-0.35114	-0.59677	0.30444	0.65405	23.5	13111	100
2025-5-25 10:6:13.812	WT901BLE68(801231B9234C)	-0.172	1.010	0.085	-38.330	103.027	68.298	78.56	21.86	-93.42	-0.784	-41.258	-1.176	-0.35114	-0.59677	0.30444	0.65405	23.5	13111	100
2025-5-25 10:6:13.812	WT901BLE68(801231B9234C)	-0.172	1.054	0.065	-43.457	105.896	60.913	78.60	20.86	-91.15	-0.784	-41.258	-1.176	-0.35114	-0.59677	0.30444	0.65405	23.5	13111	100
2025-5-25 10:6:13.836	WT901BLE68(801231B9234C)	-0.182	1.092	0.045	-45.471	108.948	57.373	78.60	19.96	-88.79	-0.784	-41.258	-1.176	-0.35114	-0.59677	0.30444	0.65405	23.5	13111	100
2025-5-25 10:6:13.836	WT901BLE68(801231B9234C)	-0.183	1.118	0.035	-44.922	109.314	55.969	78.56	19.14	-86.39	-0.784	-41.258	-1.176	-0.35114	-0.59677	0.30444	0.65405	23.5	13111	100
2025-5-25 10:6:13.880	WT901BLE68(801231B9234C)	-0.186	1.083	0.021	-42.480	109.863	55.908	78.54	18.34	-83.93	-0.784	-41.258	-1.176	-0.35114	-0.59677	0.30444	0.65405	23.5	13111	100
2025-5-25 10:6:13.880	WT901BLE68(801231B9234C)	-0.197	0.998	0.025	-37.903	109.741	55.847	78.57	17.55	-81.45	-0.784	-41.258	-1.176	-0.35114	-0.59677	0.30444	0.65405	23.5	13111	100
2025-5-25 10:6:13.924	WT901BLE68(801231B9234C)	-0.211	0.917	0.035	-32.959	107.178	55.481	78.66	16.78	-79.00	-0.784	-41.258	-1.176	-0.35114	-0.59677	0.30444	0.65405	23.5	13111	100
2025-5-25 10:6:13.924	WT901BLE68(801231B9234C)	-0.224	0.852	0.052	-28.076	101.563	55.115	78.79	16.01	-76.64	-0.784	-41.258	-1.176	-0.55487	-0.56317	0.30676	0.52985	23.5	13111	100
2025-5-25 10:6:13.969	WT901BLE68(801231B9234C)	-0.224	0.811	0.044	-23.865	91.797	56.335	78.93	15.21	-74.47	-0.784	-41.258	-1.176	-0.55487	-0.56317	0.30676	0.52985	23.5	13111	100
2025-5-25 10:6:13.969	WT901BLE68(801231B9234C)	-0.223	0.793	0.034	-19.226	81.726	61.340	79.07	14.32	-72.51	-0.784	-41.258	-1.176	-0.55487	-0.56317	0.30676	0.52985	23.5	13111	100
2025-5-25 10:6:14.23	WT901BLE68(801231B9234C)	-0.220	0.787	0.031	-14.465	72.510	68.909	79.24	13.28	-70.74	-0.784	-41.258	-1.176	-0.55487	-0.56317	0.30676	0.52985	23.5	13111	100
2025-5-25 10:6:14.24	WT901BLE68(801231B9234C)	-0.215	0.789	0.041	-9.644	65.918	78.491	79.44	12.05	-69.10	-0.784	-41.258	-1.176	-0.55487	-0.56317	0.30676	0.52985	23.5	13111	100
2025-5-25 10:6:14.38	WT901BLE68(801231B9234C)	-0.195	0.798	0.068	-5.676	62.622	87.952	79.68	10.63	-67.55	-0.784	-41.258	-1.176	-0.55487	-0.56317	0.30676	0.52985	23.5	13111	100
2025-5-25 10:6:14.39	WT901BLE68(801231B9234C)	-0.195	0.829	0.075	-1.709	66.101	99.121	79.94	9.03	-65.99	-0.784	-41.258	-1.176	-0.55487	-0.56317	0.30676	0.52985	23.5	13111	100
2025-5-25 10:6:14.106	WT901BLE68(801231B9234C)	-0.216	0.843	0.083	4.456	76.111	110.901	80.29	7.23	-64.27	-0.784	-41.258	-1.176	-0.55487	-0.56317	0.30676	0.52985	23.5	13111	100
2025-5-25 10:6:14.106	WT901BLE68(801231B9234C)	-0.281	0.853	0.133	11.536	85.449	122.253	80.73	5.25	-62.36	-0.784	-41.258	-1.176	-0.55487	-0.56317	0.30676	0.52985	23.5	13111	100
2025-5-25 10:6:14.128	WT901BLE68(801231B9234C)	-0.332	0.867	0.187	16.479	81.116	128.601	81.21	3.11	-60.47	-0.784	-41.258	-1.176	-0.55487	-0.56317	0.30676	0.52985	23.5	13111	100
2025-5-25 10:6:14.129	WT901BLE68(801231B9234C)	-0.367	0.853	0.239	20.874	65.430	133.362	81.67	0.86	-58.88	-11.956	-35.476	-9.408	-0.55487	-0.56317	0.30676	0.52985	23.5	13111	100
2025-5-25 10:6:14.174	WT901BLE68(801231B9234C)	-0.435	0.832	0.334	23.987	39.612	133.057	82.14	-1.45	-57.78	-11.956	-35.476	-9.408	-0.55487	-0.56317	0.30676	0.52985	23.5	13111	100
2025-5-25 10:6:14.175	WT901BLE68(801231B9234C)	-0.477	0.845	0.419	23.315	-0.671	126.953	82.60	-3.73	-57.46	-11.956	-35.476	-9.408	-0.55487	-0.56317	0.30676	0.52985	23.5	13111	100
2025-5-25 10:6:14.224	WT901BLE68(801231B9234C)	-0.430	0.915	0.453	23.499	-50.293	119.507	83.08	-5.93	-58.16	-11.956	-35.476	-9.408	-0.55487	-0.56317	0.30676	0.52985	23.5	13111	100
2025-5-25 10:6:14.224	WT901BLE68(801231B9234C)	-0.401	1.053	0.459	25.818	-83.801	109.985	83.73	-7.99	-59.74	-11.956	-35.476	-9.408	-0.55487	-0.56317	0.30676	0.52985	23.5	13111	100
2025-5-25 10:6:14.242	WT901BLE68(801231B9234C)	-0.345	1.126	0.444	19.348	-105.408	100.037	84.41	-9.87	-61.90	-11.956	-35.476	-9.408	-0.55487	-0.56317	0.30676	0.52985	23.5	13111	100
2025-5-25 10:6:14.242	WT901BLE68(801231B9234C)	-0.317	1.231	0.398	16.418	-107.910	77.881	85.10	-11.38	-64.31	-11.956	-35.476	-9.408	-0.55487	-0.56317	0.30676	0.52985	23.5	13111	100
2025-5-25 10:6:14.285	WT901BLE68(801231B9234C)	-0.323	1.285	0.362	5.249	-89.844	52.490	85.65	-12.37	-66.54	-11.956	-35.476	-9.408	-0.55487	-0.56317	0.30676	0.52985	23.5	13111	100
2025-5-25 10:6:14.285	WT901BLE68(801231B9234C)	-0.319	1.251	0.367	-6.836	-67.322	17.700	85.86	-12.70	-68.35	-11.956	-35.476	-9.408	-0.55487	-0.56317	0.30676	0.52985	23.5	13111	100
2025-5-25 10:6:14.330	WT901BLE68(801231B9234C)	-0.269	1.310	0.336	-15.808	-49.622	-22.766	85.80	-12.23	-69.80	-11.956	-35.476	-9.408	-0.55487	-0.56317	0.30676	0.52985	23.5	13111	100
2025-5-25 10:6:14.330	WT901BLE68(801231B9234C)	-0.222	1.354	0.297	-25.818	-36.133	-57.434	85.48	-11.03	-71.00	-11.956	-35.476	-9.408	-0.55487	-0.56317	0.30676	0.52985	23.5	13111	100
2025-5-25 10:6:14.377	WT901BLE68(801231B9234C)	-0.232	1.309	0.272	-37.476	-22.156	-89.355	84.88	-9.20	-71.97	-11.956	-35.476	-9.408	-0.62631	-0.51004	0.44769	0.38348	23.5	13111	100
2025-5-25 10:6:14.377	WT901BLE68(801231B9234C)	-0.209	1.194	0.251	-45.532	-10.254	-116.150	84.04	-6.82	-72.76	-11.956	-35.476	-9.408	-0.62631	-0.51004	0.44769	0.38348	23.5	13111	100
2025-5-25 10:6:14.424	WT901BLE68(801231B9234C)	-0.216	1.095	0.223	-47.668	0.549	-137.695	83.09	-4.00	-73.41	-11.956	-35.476	-9.408	-0.62631	-0.51004	0.44769	0.38348	23.5	13111	100
2025-5-25 10:6:14.424	WT901BLE68(801231B9234C)	-0.273	1.070	0.180	-47.668	8.423	-147.278	82.08	-0.94	-73.95	-11.956	-35.476	-9.408	-0.62631	-0.51004	0.44769	0.38348	23.5	13111	100
2025-5-25 10:6:14.444	WT901BLE68(801231B9234C)	-0.311	1.087	0.139	-44.250	3.479	-153.381	81.13	2.24	-74.56	-11.956	-35.476	-9.408	-0.62631	-0.51004	0.44769	0.38348	23.5	13111	100
2025-5-25 10:6:14.444	WT901BLE68(801231B9234C)	-0.312	1.115	0.109	-39.856	-16.296	-151.123	80.24	5.36	-75.51	-11.956	-35.476	-9.408	-0.62631	-0.51004	0.44769	0.38348	23.5	13111	100
2025-5-25 10:6:14.486	WT901BLE68(801231B9234C)	-0.323	1.128	0.071	-37.964	-49.500	-145.020	79.30	8.26	-77.09	-11.956	-35.476	-9.408	-0.62631	-0.51004	0.44769	0.38348	23.5	13111	100
2025-5-25 10:6:14.486	WT901BLE68(801231B9234C)	-0.313	1.163	0.062	-37.720	-78.369	-136.902	78.29	10.81	-79.22	-11.956	-35.476	-9.408	-0.62631	-0.51004	0.44769	0.38348	23.5	13111	100
2025-5-25 10:6:14.532	WT901BLE68(801231B9234C)	-0.265	1.189	0.038	-39.429	-108.704	-129.150	77.08	13.01	-81.99	-11.956	-35.476	-9.408	-0.62631	-0.51004	0.44769	0.38348	23.5	13111	100
2025-5-25 10:6:14.532	WT901BLE68(801231B9234C)	-0.167	1.221	0.011	-43.213	-128.723	-123.596	75.61	14.89	-85.26	-11.956	-35.476	-9.408	-0.62631	-0.51004	0.44769	0.38348	23.5	13111	100
2025-5-25 10:6:14.599	WT901BLE68(801231B9234C)	-0.099	1.225	-0.009	-46.875	-126.160	-122.375	73.97	16.57	-88.69	-11.956	-35.476	-9.408	-0.62631	-0.51004	0.44769	0.38348	23.5	13111	100
2025-5-25 10:6:14.599	WT901BLE68(801231B9234C)	-0.063	1.186	-0.020	-48.157	-105.530	-124.878	72.27	18.23	-91.86	-11.956	-35.476	-9.408	-0.62631	-0.51004	0.44769	0.38348	23.5	13111	100
