time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-24 9:5:33.128	WT901BLE68(801231B9234C)	-0.638	1.084	0.235	-2.075	-69.214	-34.119	91.75	-19.13	59.01	38.612	-30.184	-21.854	-0.54843	-0.65475	-0.27692	-0.44012	16.4	13111	100
2025-5-24 9:5:33.128	WT901BLE68(801231B9234C)	-0.509	1.274	0.255	-4.578	-110.962	-76.660	92.85	-17.51	55.69	38.612	-30.184	-21.854	-0.54843	-0.65475	-0.27692	-0.44012	16.4	13111	100
2025-5-24 9:5:33.150	WT901BLE68(801231B9234C)	-0.414	1.452	0.183	-9.094	-141.113	-103.943	93.99	-15.12	51.72	38.612	-30.184	-21.854	-0.54843	-0.65475	-0.27692	-0.44012	16.4	13111	100
2025-5-24 9:5:33.150	WT901BLE68(801231B9234C)	-0.334	1.522	0.183	-22.766	-152.893	-133.545	94.73	-12.09	47.55	10.290	-54.292	-10.192	-0.54843	-0.65475	-0.27692	-0.44012	16.4	13111	100
2025-5-24 9:5:33.181	WT901BLE68(801231B9234C)	-0.242	1.529	0.144	-33.569	-145.508	-155.579	94.98	-8.53	43.54	10.290	-54.292	-10.192	-0.54843	-0.65475	-0.27692	-0.44012	16.4	13111	100
2025-5-24 9:5:33.181	WT901BLE68(801231B9234C)	-0.208	1.509	0.104	-46.143	-126.831	-175.354	94.66	-4.63	39.98	10.290	-54.292	-10.192	-0.54843	-0.65475	-0.27692	-0.44012	16.4	13111	100
2025-5-24 9:5:33.240	WT901BLE68(801231B9234C)	-0.226	1.498	0.059	-56.030	-101.074	-194.641	93.80	-0.42	37.10	10.290	-54.292	-10.192	-0.54843	-0.65475	-0.27692	-0.44012	16.4	13111	100
2025-5-24 9:5:33.240	WT901BLE68(801231B9234C)	-0.251	1.498	0.031	-59.631	-78.613	-207.825	92.57	3.97	35.06	10.290	-54.292	-10.192	-0.54843	-0.65475	-0.27692	-0.44012	16.4	13111	100
2025-5-24 9:5:33.270	WT901BLE68(801231B9234C)	-0.298	1.492	0.016	-60.425	-65.491	-213.684	91.17	8.38	33.64	10.290	-54.292	-10.192	-0.54843	-0.65475	-0.27692	-0.44012	16.4	13111	100
2025-5-24 9:5:33.270	WT901BLE68(801231B9234C)	-0.340	1.479	0.005	-59.082	-66.589	-212.646	89.69	12.72	32.37	10.290	-54.292	-10.192	-0.54843	-0.65475	-0.27692	-0.44012	16.4	13111	100
2025-5-24 9:5:33.301	WT901BLE68(801231B9234C)	-0.359	1.528	-0.016	-56.580	-77.332	-204.956	88.13	16.86	30.89	10.290	-54.292	-10.192	-0.54843	-0.65475	-0.27692	-0.44012	16.4	13111	100
2025-5-24 9:5:33.301	WT901BLE68(801231B9234C)	-0.335	1.585	-0.050	-56.519	-92.163	-190.552	86.39	20.65	29.05	10.290	-54.292	-10.192	-0.54843	-0.65475	-0.27692	-0.44012	16.4	13111	100
2025-5-24 9:5:33.360	WT901BLE68(801231B9234C)	-0.281	1.554	-0.073	-60.669	-102.356	-176.453	84.35	24.04	26.83	10.290	-54.292	-10.192	-0.74374	-0.59558	-0.30301	-0.01337	16.4	13111	100
2025-5-24 9:5:33.360	WT901BLE68(801231B9234C)	-0.198	1.450	-0.091	-63.599	-102.112	-167.664	82.06	27.06	24.41	10.290	-54.292	-10.192	-0.74374	-0.59558	-0.30301	-0.01337	16.4	13111	100
2025-5-24 9:5:33.390	WT901BLE68(801231B9234C)	-0.130	1.327	-0.104	-65.063	-89.661	-165.039	79.66	29.89	22.02	10.290	-54.292	-10.192	-0.74374	-0.59558	-0.30301	-0.01337	16.4	13111	100
2025-5-24 9:5:33.390	WT901BLE68(801231B9234C)	-0.104	1.220	-0.080	-66.284	-70.740	-168.823	77.27	32.68	19.86	10.290	-54.292	-10.192	-0.74374	-0.59558	-0.30301	-0.01337	16.4	13111	100
2025-5-24 9:5:33.426	WT901BLE68(801231B9234C)	-0.094	1.116	-0.066	-66.650	-50.232	-175.903	74.93	35.55	17.96	10.290	-54.292	-10.192	-0.74374	-0.59558	-0.30301	-0.01337	16.4	13111	100
2025-5-24 9:5:33.427	WT901BLE68(801231B9234C)	-0.104	1.026	-0.050	-64.697	-28.992	-183.411	72.70	38.58	16.34	10.290	-54.292	-10.192	-0.74374	-0.59558	-0.30301	-0.01337	16.4	13111	100
2025-5-24 9:5:33.480	WT901BLE68(801231B9234C)	-0.130	0.970	-0.043	-60.852	-9.705	-189.148	70.64	41.76	14.97	10.290	-54.292	-10.192	-0.74374	-0.59558	-0.30301	-0.01337	16.4	13111	100
2025-5-24 9:5:33.480	WT901BLE68(801231B9234C)	-0.155	0.935	-0.020	-57.129	5.005	-190.857	68.75	45.04	13.81	10.290	-54.292	-10.192	-0.74374	-0.59558	-0.30301	-0.01337	16.4	13111	100
2025-5-24 9:5:33.511	WT901BLE68(801231B9234C)	-0.162	0.886	-0.007	-54.626	9.155	-188.904	66.88	48.30	12.68	10.290	-54.292	-10.192	-0.74374	-0.59558	-0.30301	-0.01337	16.4	13111	100
2025-5-24 9:5:33.511	WT901BLE68(801231B9234C)	-0.160	0.812	0.005	-52.734	7.080	-185.303	64.85	51.43	11.35	10.290	-54.292	-10.192	-0.74374	-0.59558	-0.30301	-0.01337	16.4	13111	100
2025-5-24 9:5:33.541	WT901BLE68(801231B9234C)	-0.163	0.755	0.008	-48.523	3.418	-180.115	62.62	54.38	9.74	10.290	-54.292	-10.192	-0.74374	-0.59558	-0.30301	-0.01337	16.4	13111	100
2025-5-24 9:5:33.541	WT901BLE68(801231B9234C)	-0.161	0.726	0.005	-42.542	-1.160	-173.279	60.16	57.12	7.81	41.552	-17.738	-29.008	-0.74374	-0.59558	-0.30301	-0.01337	16.4	13111	100
2025-5-24 9:5:33.600	WT901BLE68(801231B9234C)	-0.148	0.733	0.014	-35.583	-5.554	-161.804	57.51	59.57	5.56	41.552	-17.738	-29.008	-0.74374	-0.59558	-0.30301	-0.01337	16.4	13111	100
2025-5-24 9:5:33.600	WT901BLE68(801231B9234C)	-0.143	0.771	0.026	-29.602	-8.911	-144.165	54.83	61.64	3.18	41.552	-17.738	-29.008	-0.74374	-0.59558	-0.30301	-0.01337	16.4	13111	100
2025-5-24 9:5:33.634	WT901BLE68(801231B9234C)	-0.135	0.768	0.050	-27.832	-11.780	-119.873	52.28	63.25	0.92	41.552	-17.738	-29.008	-0.74374	-0.59558	-0.30301	-0.01337	16.4	13111	100
2025-5-24 9:5:33.634	WT901BLE68(801231B9234C)	-0.132	0.704	0.074	-23.499	-13.306	-87.646	50.20	64.31	-0.82	41.552	-17.738	-29.008	-0.74374	-0.59558	-0.30301	-0.01337	16.4	13111	100
2025-5-24 9:5:33.661	WT901BLE68(801231B9234C)	-0.152	0.701	0.091	-10.559	-8.728	-44.983	49.26	64.78	-1.50	41.552	-17.738	-29.008	-0.74374	-0.59558	-0.30301	-0.01337	16.4	13111	100
2025-5-24 9:5:33.661	WT901BLE68(801231B9234C)	-0.185	0.751	0.114	4.089	0.488	10.681	50.17	64.55	-0.43	41.552	-17.738	-29.008	-0.74374	-0.59558	-0.30301	-0.01337	16.4	13111	100
2025-5-24 9:5:33.727	WT901BLE68(801231B9234C)	-0.193	0.794	0.113	21.545	13.733	75.562	53.20	63.48	2.66	41.552	-17.738	-29.008	-0.74374	-0.59558	-0.30301	-0.01337	16.4	13111	100
2025-5-24 9:5:33.728	WT901BLE68(801231B9234C)	-0.216	0.793	0.097	42.664	36.499	144.226	58.24	61.40	7.65	41.552	-17.738	-29.008	-0.74374	-0.59558	-0.30301	-0.01337	16.4	13111	100
2025-5-24 9:5:33.750	WT901BLE68(801231B9234C)	-0.297	0.735	0.108	66.650	73.853	201.782	64.84	58.32	14.06	41.552	-17.738	-29.008	-0.74374	-0.59558	-0.30301	-0.01337	16.4	13111	100
2025-5-24 9:5:33.750	WT901BLE68(801231B9234C)	-0.434	0.771	0.179	91.431	102.478	242.432	71.98	54.30	20.81	41.552	-17.738	-29.008	-0.75024	-0.47144	-0.44934	0.11346	16.4	13111	100
2025-5-24 9:5:33.781	WT901BLE68(801231B9234C)	-0.532	0.941	0.271	108.521	108.521	273.804	78.56	49.35	26.77	41.552	-17.738	-29.008	-0.75024	-0.47144	-0.44934	0.11346	16.4	13111	100
2025-5-24 9:5:33.782	WT901BLE68(801231B9234C)	-0.552	1.217	0.368	111.877	79.346	297.119	83.68	43.57	31.01	41.552	-17.738	-29.008	-0.75024	-0.47144	-0.44934	0.11346	16.4	13111	100
2025-5-24 9:5:33.840	WT901BLE68(801231B9234C)	-0.488	1.452	0.372	100.952	16.296	316.406	86.85	37.20	33.00	41.552	-17.738	-29.008	-0.75024	-0.47144	-0.44934	0.11346	16.4	13111	100
2025-5-24 9:5:33.840	WT901BLE68(801231B9234C)	-0.411	1.522	0.258	92.957	-45.471	323.853	88.49	30.56	32.98	41.552	-17.738	-29.008	-0.75024	-0.47144	-0.44934	0.11346	16.4	13111	100
2025-5-24 9:5:33.871	WT901BLE68(801231B9234C)	-0.308	1.597	0.106	93.689	-86.975	320.129	89.54	23.99	31.71	41.552	-17.738	-29.008	-0.75024	-0.47144	-0.44934	0.11346	16.4	13111	100
2025-5-24 9:5:33.871	WT901BLE68(801231B9234C)	-0.157	1.634	0.001	97.961	-95.459	308.044	90.64	17.69	29.93	41.552	-17.738	-29.008	-0.75024	-0.47144	-0.44934	0.11346	16.4	13111	100
2025-5-24 9:5:33.900	WT901BLE68(801231B9234C)	-0.042	1.533	0.007	98.267	-62.866	285.645	92.05	11.84	28.44	41.552	-17.738	-29.008	-0.75024	-0.47144	-0.44934	0.11346	16.4	13111	100
2025-5-24 9:5:33.900	WT901BLE68(801231B9234C)	-0.047	1.387	0.118	92.102	1.770	252.319	93.70	6.61	27.93	41.552	-17.738	-29.008	-0.75024	-0.47144	-0.44934	0.11346	16.4	13111	100
2025-5-24 9:5:33.961	WT901BLE68(801231B9234C)	-0.165	1.279	0.192	84.534	78.735	212.830	95.33	2.05	28.82	41.552	-17.738	-29.008	-0.75024	-0.47144	-0.44934	0.11346	16.4	13111	100
2025-5-24 9:5:33.961	WT901BLE68(801231B9234C)	-0.268	1.200	0.188	71.350	136.536	176.025	96.66	-1.88	30.98	41.552	-17.738	-29.008	-0.75024	-0.47144	-0.44934	0.11346	16.4	13111	100
2025-5-24 9:5:33.991	WT901BLE68(801231B9234C)	-0.315	1.160	0.151	62.256	169.128	145.691	97.57	-5.27	33.92	25.284	-44.394	-20.482	-0.75024	-0.47144	-0.44934	0.11346	16.4	13111	100
