time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-24 9:8:30.571	WT901BLE68(801231B9234C)	-2.413	1.711	0.341	-77.698	-23.193	399.353	55.77	58.72	-34.02	27.538	-5.586	-44.688	-0.56290	-0.45172	-0.33572	0.60519	17.2	13111	100
2025-5-24 9:8:30.571	WT901BLE68(801231B9234C)	-2.262	1.942	1.140	-48.096	-102.966	421.082	59.41	50.45	-28.03	27.538	-5.586	-44.688	-0.56290	-0.45172	-0.33572	0.60519	17.2	13111	100
2025-5-24 9:8:30.632	WT901BLE68(801231B9234C)	-2.640	1.956	1.603	-12.085	26.978	350.464	62.33	43.45	-23.15	27.538	-5.586	-44.688	-0.56290	-0.45172	-0.33572	0.60519	17.2	13111	100
2025-5-24 9:8:30.632	WT901BLE68(801231B9234C)	-2.665	1.347	1.419	-15.381	188.721	286.438	66.40	39.05	-16.24	27.538	-5.586	-44.688	-0.56290	-0.45172	-0.33572	0.60519	17.2	13111	100
2025-5-24 9:8:30.664	WT901BLE68(801231B9234C)	-2.314	0.794	1.129	-15.137	225.586	260.803	70.54	35.68	-8.63	27.538	-5.586	-44.688	-0.56290	-0.45172	-0.33572	0.60519	17.2	13111	100
2025-5-24 9:8:30.664	WT901BLE68(801231B9234C)	-1.907	0.426	1.029	-19.897	186.340	230.774	73.59	32.49	-2.42	27.538	-5.586	-44.688	-0.56290	-0.45172	-0.33572	0.60519	17.2	13111	100
2025-5-24 9:8:30.694	WT901BLE68(801231B9234C)	-1.547	0.070	1.025	-42.908	161.987	202.393	75.42	29.58	2.35	27.538	-5.586	-44.688	-0.56290	-0.45172	-0.33572	0.60519	17.2	13111	100
2025-5-24 9:8:30.694	WT901BLE68(801231B9234C)	-1.214	-0.303	0.965	-76.477	136.902	178.833	76.04	27.04	6.09	29.204	-23.030	-40.474	-0.56290	-0.45172	-0.33572	0.60519	17.2	13111	100
2025-5-24 9:8:30.753	WT901BLE68(801231B9234C)	-0.962	-0.597	0.835	-114.624	103.210	157.349	75.50	24.87	8.85	29.204	-23.030	-40.474	-0.56290	-0.45172	-0.33572	0.60519	17.2	13111	100
2025-5-24 9:8:30.753	WT901BLE68(801231B9234C)	-0.862	-0.958	0.688	-142.822	64.575	120.483	73.89	23.23	10.48	29.204	-23.030	-40.474	-0.56290	-0.45172	-0.33572	0.60519	17.2	13111	100
2025-5-24 9:8:30.781	WT901BLE68(801231B9234C)	-0.512	-2.855	0.725	-198.608	38.452	74.707	71.03	22.60	11.16	29.204	-23.030	-40.474	-0.56290	-0.45172	-0.33572	0.60519	17.2	13111	100
2025-5-24 9:8:30.781	WT901BLE68(801231B9234C)	-0.656	-2.147	0.296	-160.400	59.021	-16.174	68.42	23.23	11.57	29.204	-23.030	-40.474	-0.56290	-0.45172	-0.33572	0.60519	17.2	13111	100
2025-5-24 9:8:30.841	WT901BLE68(801231B9234C)	-0.715	-1.518	0.020	-135.132	59.753	-113.525	66.18	25.99	11.49	29.204	-23.030	-40.474	-0.56290	-0.45172	-0.33572	0.60519	17.2	13111	100
2025-5-24 9:8:30.842	WT901BLE68(801231B9234C)	-0.760	-1.346	-0.086	-92.896	24.170	-188.599	64.04	30.09	10.15	29.204	-23.030	-40.474	-0.56290	-0.45172	-0.33572	0.60519	17.2	13111	100
2025-5-24 9:8:30.874	WT901BLE68(801231B9234C)	-0.887	-1.141	-0.164	-46.082	-7.019	-252.319	61.94	35.11	7.22	29.204	-23.030	-40.474	-0.56290	-0.45172	-0.33572	0.60519	17.2	13111	100
2025-5-24 9:8:30.875	WT901BLE68(801231B9234C)	-1.138	-0.941	-0.022	-1.526	-18.677	-305.420	59.66	40.86	2.88	29.204	-23.030	-40.474	-0.56290	-0.45172	-0.33572	0.60519	17.2	13111	100
2025-5-24 9:8:30.905	WT901BLE68(801231B9234C)	-1.981	-0.639	0.315	37.415	-13.489	-353.943	56.94	47.35	-2.86	29.204	-23.030	-40.474	-0.56290	-0.45172	-0.33572	0.60519	17.2	13111	100
2025-5-24 9:8:30.905	WT901BLE68(801231B9234C)	-3.094	-0.277	0.584	44.067	9.766	-372.253	53.05	54.18	-9.98	29.204	-23.030	-40.474	-0.76199	-0.42795	-0.38150	0.30096	17.2	13111	100
2025-5-24 9:8:30.933	WT901BLE68(801231B9234C)	-3.925	-0.228	0.698	47.729	15.015	-374.817	47.10	60.88	-18.85	29.204	-23.030	-40.474	-0.76199	-0.42795	-0.38150	0.30096	17.2	13111	100
2025-5-24 9:8:30.934	WT901BLE68(801231B9234C)	-3.701	0.356	0.797	61.035	-106.934	-362.610	35.83	65.45	-33.35	29.204	-23.030	-40.474	-0.76199	-0.42795	-0.38150	0.30096	17.2	13111	100
2025-5-24 9:8:30.992	WT901BLE68(801231B9234C)	-2.502	1.104	0.817	49.072	-161.499	-319.519	20.64	66.30	-51.75	29.204	-23.030	-40.474	-0.76199	-0.42795	-0.38150	0.30096	17.2	13111	100
2025-5-24 9:8:30.992	WT901BLE68(801231B9234C)	-1.664	2.187	0.689	60.974	-54.626	-274.231	8.38	65.89	-66.70	29.204	-23.030	-40.474	-0.76199	-0.42795	-0.38150	0.30096	17.2	13111	100
2025-5-24 9:8:31.28	WT901BLE68(801231B9234C)	-1.323	1.320	0.599	81.177	82.031	-284.668	-2.64	67.02	-80.38	29.204	-23.030	-40.474	-0.76199	-0.42795	-0.38150	0.30096	17.2	13111	100
2025-5-24 9:8:31.28	WT901BLE68(801231B9234C)	-0.922	1.179	0.362	140.320	169.495	-248.108	-13.41	69.25	-94.47	29.204	-23.030	-40.474	-0.76199	-0.42795	-0.38150	0.30096	17.2	13111	100
2025-5-24 9:8:31.82	WT901BLE68(801231B9234C)	-0.539	1.312	0.172	189.575	209.473	-202.271	-24.22	71.84	-109.50	29.204	-23.030	-40.474	-0.76199	-0.42795	-0.38150	0.30096	17.2	13111	100
2025-5-24 9:8:31.82	WT901BLE68(801231B9234C)	-0.242	1.172	0.083	217.102	222.473	-153.748	-35.47	74.22	-125.36	29.204	-23.030	-40.474	-0.76199	-0.42795	-0.38150	0.30096	17.2	13111	100
2025-5-24 9:8:31.113	WT901BLE68(801231B9234C)	-0.071	1.049	0.026	231.689	227.234	-107.422	-47.83	76.39	-142.49	29.204	-23.030	-40.474	-0.76199	-0.42795	-0.38150	0.30096	17.2	13111	100
2025-5-24 9:8:31.113	WT901BLE68(801231B9234C)	0.106	0.901	-0.045	229.858	215.332	-71.228	-61.82	78.12	-161.12	32.830	6.370	-38.514	-0.76199	-0.42795	-0.38150	0.30096	17.2	13111	100
2025-5-24 9:8:31.141	WT901BLE68(801231B9234C)	0.259	0.992	-0.110	219.299	186.707	-43.457	-76.61	79.19	179.76	32.830	6.370	-38.514	-0.76199	-0.42795	-0.38150	0.30096	17.2	13111	100
2025-5-24 9:8:31.141	WT901BLE68(801231B9234C)	0.346	0.976	-0.150	193.542	146.729	-14.465	-90.10	79.74	162.48	32.830	6.370	-38.514	-0.76199	-0.42795	-0.38150	0.30096	17.2	13111	100
2025-5-24 9:8:31.202	WT901BLE68(801231B9234C)	0.284	0.961	-0.130	138.428	105.164	18.738	-102.04	80.28	147.78	32.830	6.370	-38.514	-0.76199	-0.42795	-0.38150	0.30096	17.2	13111	100
2025-5-24 9:8:31.202	WT901BLE68(801231B9234C)	0.151	0.850	-0.122	71.838	66.833	49.988	-113.77	81.11	134.64	32.830	6.370	-38.514	-0.76199	-0.42795	-0.38150	0.30096	17.2	13111	100
2025-5-24 9:8:31.232	WT901BLE68(801231B9234C)	-0.042	0.792	-0.137	9.888	44.800	77.393	-128.06	82.17	120.25	32.830	6.370	-38.514	-0.76199	-0.42795	-0.38150	0.30096	17.2	13111	100
